"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.885916000E0,1.243178558E1,3.079381943E1,-2.090332031E1,3.923974271E1
2.895846000E0,1.223680878E1,3.068904495E1,-2.080161285E1,3.904182458E1
2.905777000E0,1.236907196E1,3.086823273E1,-2.098114014E1,3.931984199E1
2.915707000E0,1.214047241E1,3.085258865E1,-2.090843201E1,3.919739565E1
2.925637000E0,1.211949921E1,3.086939240E1,-2.086987305E1,3.918358392E1
2.935567000E0,1.203336334E1,3.069027328E1,-2.093260193E1,3.904956506E1
2.945498000E0,1.226702881E1,3.070026016E1,-2.111289215E1,3.922677892E1
2.955428000E0,1.198393250E1,3.078311539E1,-2.073421478E1,3.900157040E1
2.965358000E0,1.208892059E1,3.065196228E1,-2.055240631E1,3.883408552E1
2.975289000E0,1.231418610E1,3.089735794E1,-2.064575195E1,3.914757950E1
2.985219000E0,1.221663666E1,3.056237030E1,-2.093795776E1,3.900900877E1
2.995149000E0,1.222285461E1,3.098342133E1,-2.106413269E1,3.940898702E1
3.005079000E0,1.237483978E1,3.090329742E1,-2.092208099E1,3.931773041E1
3.015010000E0,1.205679321E1,3.103422546E1,-2.070560455E1,3.920728851E1
3.024940000E0,1.226182556E1,3.113877487E1,-2.059734344E1,3.929664392E1
3.034870000E0,1.232469940E1,3.080225372E1,-2.097219849E1,3.924933323E1
3.044800000E0,1.244329834E1,3.104270172E1,-2.110903931E1,3.954840761E1
3.054731000E0,1.219968414E1,3.084908295E1,-2.099112701E1,3.925717291E1
3.064661000E0,1.203108215E1,3.060350418E1,-2.102834320E1,3.903219983E1
3.074591000E0,1.220713806E1,3.075699615E1,-2.091370392E1,3.914575384E1
3.084521000E0,1.250149536E1,3.077596664E1,-2.097724915E1,3.928730699E1
3.094452000E0,1.207900238E1,3.117723465E1,-2.110461426E1,3.953893021E1
3.104382000E0,1.218949127E1,3.094076538E1,-2.107746887E1,3.937225360E1
3.114312000E0,1.213404083E1,3.092423248E1,-2.087811279E1,3.923568141E1
3.124242000E0,1.210304260E1,3.092848969E1,-2.112904358E1,3.936358212E1
3.134173000E0,1.224897766E1,3.058069611E1,-2.089134979E1,3.900852374E1
3.144103000E0,1.231229401E1,3.070288849E1,-2.084888458E1,3.910161037E1
3.154033000E0,1.208404541E1,3.062314606E1,-2.103932190E1,3.906986427E1
3.163963000E0,1.213829041E1,3.083657455E1,-2.104359436E1,3.925640442E1
3.173894000E0,1.232416534E1,3.100159073E1,-2.088591766E1,3.935994456E1
3.183824000E0,1.208851624E1,3.114999771E1,-2.083297729E1,3.937597650E1
3.193754000E0,1.209198761E1,3.100134659E1,-2.085967255E1,3.927372650E1
3.203684000E0,1.209524536E1,3.101900101E1,-2.116035461E1,3.944913169E1
3.213615000E0,1.214685822E1,3.089736557E1,-2.110543823E1,3.933996551E1
3.223545000E0,1.207669830E1,3.063206100E1,-2.105543518E1,3.908325925E1
3.233475000E0,1.194712830E1,3.046440887E1,-2.095764160E1,3.885919227E1
3.243405000E0,1.195221710E1,3.075094223E1,-2.089613342E1,3.905284028E1
